0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:27 +0800] "GET /login.html HTTP/1.1" 200 6283
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:31 +0800] "POST /column/list HTTP/1.1" 200 11353
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:32 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:32 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:32 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:56 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:56 +0800] "POST /channel/selectList HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:56 +0800] "GET /ueditor/jsp/controller.jsp?action=config&&noCache=1554340556710 HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:00 +0800] "GET /modules/content/push_article.html HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:00 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:00 +0800] "POST /indexRecommend/list HTTP/1.1" 200 126226
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:00 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:00 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:01 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:02 +0800] "POST /draft/list HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:16:06 +0800] "POST /column/list HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:05 +0800] "GET /modules/content/edit_article.html HTTP/1.1" 200 17363
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:05 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:05 +0800] "POST /channel/selectList HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:05 +0800] "GET /ueditor/jsp/controller.jsp?action=config&&noCache=1554340625459 HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:09 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:09 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:12 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:12 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:12 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:15 +0800] "POST /draft/list HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:17:16 +0800] "POST /column/list HTTP/1.1" 200 11408
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /modules/sys/menu.html HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/css/bootstrap-table.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/libs/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.bootstrap3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.extension.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/plugins/treegrid/tree.table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/js/modules/sys/menu.js?_1554340747124 HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:07 +0800] "GET /sys/menu/list?_=1554340747226 HTTP/1.1" 200 12974
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:08 +0800] "GET /statics/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:28 +0800] "GET /sys/menu/info/59?_=1554340747227 HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:28 +0800] "GET /sys/menu/select?_=1554340747228 HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:28 +0800] "GET /statics/plugins/ztree/css/metroStyle/img/line_conn.png HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:30 +0800] "GET /sys/menu/list?_=1554340747229 HTTP/1.1" 200 12974
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:32 +0800] "GET /sys/menu/select?_=1554340747230 HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:34 +0800] "GET /statics/plugins/ztree/css/metroStyle/img/metro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:19:35 +0800] "GET /modules/sys/menu.html HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:04 +0800] "POST /sys/menu/save HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /index.html HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/all-skins.min.css HTTP/1.1" 200 40917
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/libs/router.js HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/libs/app.js HTTP/1.1" 200 24052
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/AdminLTE.min.css HTTP/1.1" 200 90194
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/js/index.js HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /sys/user/info?_1554340808869 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /sys/menu/nav?_1554340808867 HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/images/logo.png HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:08 +0800] "GET /statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /modules/sys/menu.html HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/css/bootstrap-table.min.css HTTP/1.1" 200 5711
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.css HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/jqgrid/grid.locale-cn.js HTTP/1.1" 200 9588
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/ztree/css/metroStyle/metroStyle.css HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/ztree/jquery.ztree.all.min.js HTTP/1.1" 200 63569
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.min.js HTTP/1.1" 200 8884
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.bootstrap3.js HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/jqgrid/jquery.jqGrid.min.js HTTP/1.1" 200 336240
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/libs/bootstrap-table.min.js HTTP/1.1" 200 54651
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/js/common.js HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/treegrid/tree.table.js HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.extension.js HTTP/1.1" 200 11969
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/js/modules/sys/menu.js?_1554340808999 HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /sys/menu/list?_=1554340809172 HTTP/1.1" 200 13170
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:09 +0800] "GET /statics/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:12 +0800] "GET /modules/content/selfmeida_image.html HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:27 +0800] "GET /modules/sys/menu.html HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:27 +0800] "GET /statics/js/modules/sys/menu.js?_1554340827172 HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:27 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:27 +0800] "GET /sys/menu/list?_=1554340827237 HTTP/1.1" 200 13170
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:36 +0800] "GET /sys/menu/info/82?_=1554340827238 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:36 +0800] "GET /sys/menu/select?_=1554340827239 HTTP/1.1" 200 7412
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:51 +0800] "POST /sys/menu/update HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:52 +0800] "GET /index.html HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/all-skins.min.css HTTP/1.1" 200 40917
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/AdminLTE.min.css HTTP/1.1" 200 90194
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/router.js HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/app.js HTTP/1.1" 200 24052
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/js/index.js HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /sys/user/info?_1554340853190 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/images/logo.png HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /sys/menu/nav?_1554340853187 HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /modules/sys/menu.html HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/bootstrap-table.min.css HTTP/1.1" 200 5711
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/ztree/css/metroStyle/metroStyle.css HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.css HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/jqgrid/grid.locale-cn.js HTTP/1.1" 200 9588
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/js/common.js HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/libs/bootstrap-table.min.js HTTP/1.1" 200 54651
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/ztree/jquery.ztree.all.min.js HTTP/1.1" 200 63569
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/jqgrid/jquery.jqGrid.min.js HTTP/1.1" 200 336240
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.extension.js HTTP/1.1" 200 11969
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.min.js HTTP/1.1" 200 8884
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/treegrid/tree.table.js HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/treegrid/jquery.treegrid.bootstrap3.js HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/js/modules/sys/menu.js?_1554340853316 HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:53 +0800] "GET /sys/menu/list?_=1554340853502 HTTP/1.1" 200 13170
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:54 +0800] "GET /statics/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /modules/content/selfmedia_image.html HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /statics/js/modules/content/selfmedia_image.js HTTP/1.1" 200 13977
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "POST /picture/list HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /cover/20170510163206_186.jpg HTTP/1.1" 404 151
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /cover/20180822074358_870.jpg HTTP/1.1" 404 151
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /modules/content/pic_depot/2016/07/ccc9836a6180608d621a29b835f22c72.gif HTTP/1.1" 404 193
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /cover/20181121104135_835.jpg HTTP/1.1" 404 151
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:20:56 +0800] "GET /cover/20161205171027_688.jpg HTTP/1.1" 404 151
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:21:49 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:21:49 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:21:49 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /index.html HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/main.css HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/AdminLTE.min.css HTTP/1.1" 200 90194
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/css/all-skins.min.css HTTP/1.1" 200 40917
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:25:42 +0800] "GET /statics/libs/router.js HTTP/1.1" 200 1873
